LS,HS,Year,Round,High Seed,Low Seed,Spread,FavScore,DawgScore,Site,Distance from LS,Distance from HS,,,,,,,,,,,,,,,,,
1,16,2024,R64,UConn,Stetson,-27.5,91,52,Brooklyn,117,905,,,,,,,,,,,,,,,,,
4,13,2024,R64,Auburn,Yale,-14,76,78,Spokane,1961,2205,,,,,,,,,,,,,,,,,
7,10,2024,R64,Florida,Colorado,1.5,100,102,Indianapolis,732,1011,,,,,,,,,,,,,,,,,
8,9,2024,R64,Nebraska,Texas A&M,1,83,98,Memphis,533,481,,,,,,,,,,,,,,,,,
4,13,2024,R64,Duke,Vermont,-12.5,64,47,Brooklyn,421,265,,,,,,,,,,,,,,,,,
1,16,2024,R64,Purdue,Grambling,-27,78,50,Indianapolis,60,620,,,,,,,,,,,,,,,,,
4,13,2024,R64,Alabama,Charleston,-8,109,96,Spokane,1843,2200,,,,,,,,,,,,,,,,,
1,16,2024,R64,Houston,Longwood,-24,86,46,Memphis,486,666,,,,,,,,,,,,,,,,,
5,12,2024,R64,Wisconsin,James Madison,5,61,72,Brooklyn,811,305,,,,,,,,,,,,,,,,,
8,9,2024,R64,Utah State,TCU,3.5,88,72,Indianapolis,1345,791,,,,,,,,,,,,,,,,,
5,12,2024,R64,Saint Mary's,Grand Canyon,-5.5,66,75,Spokane,719,1016,,,,,,,,,,,,,,,,,
5,12,2024,R64,Saint Mary's,Grand Canyon,-5.5,66,75,Spokane,719,1016,,,,,,,,,,,,,,,,,
8,9,2023,R64,Maryland,West Virginia,2.5,67,65,Orlando,765,771,,,,,,,,,,,,,,,,,
4,13,2023,R64,Virginia,Furman,-5,67,68,Louisville,394,294,,,,,,,,,,,,,,,,,
7,10,2023,R64,Missouri,Utah State,1.5,76,65,Sacramento,1565,556,,,,,,,,,,,,,,,,,
1,16,2023,R64,Kansas,Howard,-21.5,96,68,Des Moines,200,893,,,,,,,,,,,,,,,,,
1,16,2023,R64,Alabama,Texas A&M CC,-24,96,75,Birmingham,46,739,,,,,,,,,,,,,,,,,
5,12,2023,R64,San Diego State,Charleston,-5.5,63,57,Orlando,2131,305,,,,,,,,,,,,,,,,,
2,15,2023,R64,Arizona,Princeton,-15,55,59,Sacramento,738,2472,,,,,,,,,,,,,,,,,
8,9,2023,R64,Arkansas,Illinois,-2.5,73,63,Columbus,664,277,,,,,,,,,,,,,,,,,
8,9,2023,R64,Iowa,Auburn,2,75,83,Birmingham,626,95,,,,,,,,,,,,,,,,,
5,12,2023,R64,Duke,Oral Roberts,-5.5,74,51,Columbus,352,751,,,,,,,,,,,,,,,,,
2,15,2023,R64,Texas,Colgate,-12.5,81,61,Des Moines,814,928,,,,,,,,,,,,,,,,,
4,13,2023,R64,Tennessee,Louisiana,-11.5,58,55,Columbus,281,843,,,,,,,,,,,,,,,,,
1,16,2023,R64,Houston,N Kentucky,-19.5,63,52,Birmingham,563,410,,,,,,,,,,,,,,,,,
2,15,2023,R64,UCLA,UNC Asheville,-17.5,86,53,Sacramento,355,2139,,,,,,,,,,,,,,,,,
7,10,2023,R64,Texas A&M,Penn State,-2.5,59,76,Des Moines,773,820,,,,,,,,,,,,,,,,,
7,10,2023,R64,Michigan State,USC,-2.5,72,62,Columbus,204,1977,,,,,,,,,,,,,,,,,
3,14,2023,R64,Xavier,Kennesaw State,-12,72,67,Greensboro,333,306,,,,,,,,,,,,,,,,,
3,14,2023,R64,Baylor,UCSB,-10.5,74,56,Denver,718,896,,,,,,,,,,,,,,,,,
5,12,2023,R64,Saint Mary's,VCU,-4,63,51,Albany,2537,403,,,,,,,,,,,,,,,,,
2,15,2023,R64,Marquette,Vermont,-10,78,61,Columbus,332,589,,,,,,,,,,,,,,,,,
6,11,2023,R64,Iowa State,Pitt,-4,41,59,Greensboro,848,302,,,,,,,,,,,,,,,,,
6,11,2023,R64,Creighton,NC State,-5.5,72,63,Denver,487,1458,,,,,,,,,,,,,,,,,
4,13,2023,R64,UConn,Iona,-9,87,63,Albany,96,111,,,,,,,,,,,,,,,,,
1,16,2023,R64,Purdue,FDU,-23.5,58,63,Columbus,209,471,,,,,,,,,,,,,,,,,
6,11,2023,R64,Kentucky,Providence,-4,61,53,Greensboro,293,600,,,,,,,,,,,,,,,,,
3,14,2023,R64,Gonzaga,Grand Canyon,-15.5,82,70,Denver,825,583,,,,,,,,,,,,,,,,,
5,12,2023,R64,Miami FL,Drake,2.5,63,56,Albany,1226,1020,,,,,,,,,,,,,,,,,
8,9,2023,R64,Memphis,FAU,-1.5,65,66,Columbus,509,954,,,,,,,,,,,,,,,,,
3,14,2023,R64,Kansas State,Montana State,-7,77,65,Greensboro,942,1749,,,,,,,,,,,,,,,,,
6,11,2023,R64,TCU,Arizona State,-4.5,72,70,Denver,645,582,,,,,,,,,,,,,,,,,
4,13,2023,R64,Indiana,Kent State,-4,71,60,Albany,708,403,,,,,,,,,,,,,,,,,
6,11,2022,R64,Colorado State,Michigan,1.5,63,75,Indianapolis,999,214,,,,,,,,,,,,,,,,,
4,13,2022,R64,Providence,South Dakota State,-3,66,57,Buffalo,388,900,,,,,,,,,,,,,,,,,
8,9,2022,R64,Boise State,Memphis,3.5,53,64,Portland,345,1846,,,,,,,,,,,,,,,,,
1,16,2022,R64,Baylor,Norfolk State,-20.5,85,49,Fort Worth,82,1212,,,,,,,,,,,,,,,,,
3,14,2022,R64,Tennessee,Longwood,-18,88,56,Indianapolis,290,453,,,,,,,,,,,,,,,,,
5,12,2022,R64,Iowa,Richmond,-9.5,63,67,Buffalo,652,374,,,,,,,,,,,,,,,,,
1,16,2022,R64,Gonzaga,Georgia State,-22.5,93,72,Portland,290,2168,,,,,,,,,,,,,,,,,
8,9,2022,R64,North Carolina,Marquette,-4,95,63,Fort Worth,1052,869,,,,,,,,,,,,,,,,,
5,12,2022,R64,UConn,New Mexico State,-6,63,70,Buffalo,346,1682,,,,,,,,,,,,,,,,,
2,15,2022,R64,Kentucky,Saint Peter's,-18,79,85,Indianapolis,149,642,,,,,,,,,,,,,,,,,
8,9,2022,R64,San Diego State,Creighton,-2.5,69,72,San Diego,7,1307,,,,,,,,,,,,,,,,,
5,12,2022,R64,Saint Mary's,Indiana,-2.5,82,53,Portland,532,1880,,,,,,,,,,,,,,,,,
4,13,2022,R64,Arkansas,Vermont,-4.5,75,71,Buffalo,940,304,,,,,,,,,,,,,,,,,
4,13,2022,R64,UCLA,Akron,-13.5,57,53,Portland,823,2069,,,,,,,,,,,,,,,,,
7,10,2022,R64,Murray State,San Francisco,-1.5,92,87,San Diego,1655,458,,,,,,,,,,,,,,,,,
1,16,2022,R64,Kansas,Texas Southern,-21.5,83,56,Fort Worth,443,233,,,,,,,,,,,,,,,,,
7,10,2022,R64,Ohio State,Loyola Chicago,-1,54,41,Pittsburgh,162,412,,,,,,,,,,,,,,,,,
